Frequency shift,Amplitude shift,Phase Shift
1450,315,567
1445,315,562
1111,317,1098
1450,330,573
1456,335,573
1450,322,570
1108,330,1088
1440,336,564
1453,347,570
1450,330,568
1087,313,1100
1113,329,1097
1113,319,1097
1115,340,1099
1115,332,1103
1107,312,1090
1111,316,1098
1110,313,1091
1110,314,1096
