Phase shift,Frequency shift
573,1450
562,1440
1096,1150
1100,1111
568,1445
563,1445
1092,1108
1090,1106
1094,1111
1097,1110
573,1440
586,1450
560,1440
576,1450
1098,1110
1087,1105
569,1148
562,1148
1100,1114
1099,1115
